Longitude,Latitude,Station Name,ID,Z0_Ampm,Z0_LocalPh,Z0_UTCPhas,O1_Ampm,O1_LocalPh,O1_UTCPhas,K1_Ampm,K1_LocalPh,K1_UTCPhas,M2_Ampm,M2_LocalPh,M2_UTCPhas,S2_Ampm,S2_LocalPh,S2_UTCPhas,M4_Ampm,M4_LocalPh,M4_UTCPhas,MS4_Ampm,MS4_LocalP,MS4_UTCPha,N2_Ampm,N2_LocalPh,N2_UTCPhas,K2_Ampm,K2_LocalPh,K2_UTCPhas,Q1_Ampm,Q1_LocalPh,Q1_UTCPhas,J1_Ampm,J1_LocalPh,J1_UTCPhas,MU2_Ampm,MU2_LocalP,MU2_UTCPha,P1_Ampm,P1_LocalPh,P1_UTCPhas,MM_Ampm,MM_LocalPh,MM_UTCPhas,OO1_Ampm,OO1_LocalP,OO1_UTCPha,L2_Ampm,L2_LocalPh,L2_UTCPhas,NO1_Ampm,NO1_LocalP,NO1_UTCPha,MN4_Ampm,MN4_LocalP,MN4_UTCPha,M8_Ampm,M8_LocalPh,M8_UTCPhas,2Q1_Ampm,2Q1_LocalP,2Q1_UTCPha,2N2_Ampm,2N2_LocalP,2N2_UTCPha,NU2_Ampm,NU2_LocalP,NU2_UTCPha,M3_Ampm,M3_LocalPh,M3_UTCPhas,MO3_Ampm,MO3_LocalP,MO3_UTCPha,MK3_Ampm,MK3_LocalP,MK3_UTCPha,SK3_Ampm,SK3_LocalP,SK3_UTCPha,SN4_Ampm,SN4_LocalP,SN4_UTCPha,S4_Ampm,S4_LocalPh,S4_UTCPhas,2MN6_Ampm,2MN6_Local,2MN6_UTCPh,M6_Ampm,M6_LocalPh,M6_UTCPhas,2MS6_Ampm,2MS6_Local,2MS6_UTCPh,2SM6_Ampm,2SM6_Local,2SM6_UTCPh,MSF_Ampm,MSF_LocalP,MSF_UTCPha,ALP1_Ampm,ALP1_Local,ALP1_UTCPh,UPS1_Ampm,UPS1_Local,UPS1_UTCPh,EPS2_Ampm,EPS2_Local,EPS2_UTCPh,ETA2_Ampm,ETA2_Local,ETA2_UTCPh,2MK5_Ampm,2MK5_Local,2MK5_UTCPh,2SK5_Ampm,2SK5_Local,2SK5_UTCPh,3MK7_Ampm,3MK7_Local,3MK7_UTCPh,M10_Ampm,M10_LocalP,M10_UTCPha,SIG1_Ampm,SIG1_Local,SIG1_UTCPh,OQ2_Ampm,OQ2_LocalP,OQ2_UTCPha,MSN2_Ampm,MSN2_Local,MSN2_UTCPh,2SM2_Ampm,2SM2_Local,2SM2_UTCPh,SK4_Ampm,SK4_LocalP,SK4_UTCPha,MF_Ampm,MF_LocalPh,MF_UTCPhas,SSA_Ampm,SSA_LocalP,SSA_UTCPha,PHI1_Ampm,PHI1_Local,PHI1_UTCPh,SO1_Ampm,SO1_LocalP,SO1_UTCPha,MKS2_Ampm,MKS2_Local,MKS2_UTCPh,SO3_Ampm,SO3_LocalP,SO3_UTCPha,MK4_Ampm,MK4_LocalP,MK4_UTCPha,2MK6_Ampm,2MK6_Local,2MK6_UTCPh,MSK6_Ampm,MSK6_Local,MSK6_UTCPh,TAU1_Ampm,TAU1_Local,TAU1_UTCPh,BET1_Ampm,BET1_Local,BET1_UTCPh,SA_Ampm,SA_LocalPh,SA_UTCPhas,RHO1_Ampm,RHO1_Local,RHO1_UTCPh,PI1_Ampm,PI1_LocalP,PI1_UTCPha,S1_Ampm,S1_LocalPh,S1_UTCPhas,LDA2_Ampm,LDA2_Local,LDA2_UTCPh,T2_Ampm,T2_LocalPh,T2_UTCPhas,OP2_Ampm,OP2_LocalP,OP2_UTCPha,MSN6_Ampm,MSN6_Local,MSN6_UTCPh,CHI1_Ampm,CHI1_Local,CHI1_UTCPh,PSI1_Ampm,PSI1_Local,PSI1_UTCPh,THE1_Ampm,THE1_Local,THE1_UTCPh,R2_Ampm,R2_LocalPh,R2_UTCPhas,MSM_Ampm,MSM_LocalP,MSM_UTCPha,H1_Ampm,H1_LocalPh,H1_UTCPhas,H2_Ampm,H2_LocalPh,H2_UTCPhas,GAM2_Ampm,GAM2_Local,GAM2_UTCPh
-66.8,44.6,OUTER WOOD ISLAND,1,3.09,0,0,0.094,94,149.7721,0.124,116,176.1643,2.012,328,83.93642,0.417,26,146,0.009,257,128.8728,0.009,280,155.9364,0.256,317,70.75892,0.109,26,146.3286,0.015,74,127.5946,0.006,131,193.3418,0.021,137,248.8728,0.042,116,175.8357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-67.2167,44.65,CUTLER (US DATUM),4,2.095,0,0,0.115,115.5,171.2721,0.144,130.6,190.7643,1.921,337.2,93.13641,0.266,11,131,0.012,242.6,114.4728,0.003,293.8,169.7364,0.422,310.8,64.55892,0.072,6.2,126.5285,0.023,93,146.5947,0.009,143.9,206.2418,0.014,32.8,144.6728,0.047,130.8,190.6357,0.008,182.1,184.2775,0.003,166.8,231.3564,0.068,7.2,125.3139,0.01,146.2,204.1868,0.003,171.5,41.19534,0.001,127.2,230.9457,0.007,49.7,101.1171,0.058,256.1,7.68142,0.097,317.7,71.75034,0.001,264.1,78.00462,0.006,128.2,299.9086,0.004,145.3,321.4007,0,236.4,56.56427,0.004,29.4,263.1589,0,266.5,146.5,0.005,236.7,222.3318,0.008,286,273.8093,0.002,332.8,324.6728,0,164.9,160.8364,0.012,192.3,196.3636,0.001,181.9,231.4311,0.003,196.5,263.2339,0.021,350.2,99.89533,0.003,124,246.506,0.002,301.4,233.4371,0,262.7,202.8643,0,216.2,264.1735,0.003,201.5,61.18208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-66.85,44.65,SEAL COVE,5,3.024,0,0,0.11,118.5,174.2721,0.142,134.5,194.6643,2.023,337.3,93.23642,0.296,9.4,129.4,0.022,250.1,121.9728,0.011,300.1,176.0364,0.475,306.5,60.25892,0.08,4.6,124.9286,0.007,33.6,87.19464,0.009,173.1,235.4418,0.005,51.6,163.4728,0.046,134.7,194.5357,0.054,240.6,242.7775,0.005,190.6,255.1564,0.085,353.5,111.6139,0.005,147.5,205.4868,0.011,211.7,81.39533,0.004,295.1,38.84567,0.014,346.4,37.81715,0.023,274.9,26.48142,0.109,313.4,67.45033,0.003,96,269.9046,0.012,130.4,302.1086,0.003,104.5,280.6007,0.002,33.9,214.0643,0.002,150.8,24.55892,0.004,42.8,282.8,0.009,190,175.6318,0.018,272.6,260.4092,0,341.4,333.2728,0.002,74.6,70.53642,0.053,157.2,161.2636,0.011,143.2,192.7311,0.003,137.3,204.0339,0.015,346.5,96.19534,0.016,175.9,298.406,0,96.4,28.43711,0.005,143,83.16428,0.001,112.2,160.1735,0.005,203.6,63.28209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-66.7833,44.5167,GANNET ROCK,7,3.051,0,0,0.113,115.8,171.5721,0.139,130.1,190.2643,2.087,334.3,90.23642,0.3,4,124,0.027,241.7,113.5728,0.007,298.9,174.8364,0.463,307.3,61.05892,0.08,359.2,119.5285,0.019,94.4,147.9946,0.01,127.4,189.7418,0.008,54.7,166.5728,0.045,130.3,190.1357,0.016,196.5,198.6775,0.003,142.5,207.0564,0.052,359.7,117.8139,0.003,96,153.9868,0.007,198.9,68.59534,0.001,122.7,226.4457,0.002,108.5,159.9171,0.035,278,29.58142,0.106,314.2,68.25034,0.001,282.7,96.60462,0.007,134.8,306.5085,0.002,162.6,338.7007,0.001,176.9,357.0643,0.001,327.4,201.1589,0,18.5,258.5,0.009,208.3,193.9317,0.018,251.7,239.5092,0.006,290,281.8728,0,334,329.9364,0.006,280,284.0636,0.003,130.7,180.2311,0.001,189.7,256.4339,0.014,340,89.69534,0.009,96.3,218.806,0.001,323.1,255.1371,0.001,278.5,218.6643,0,269.2,317.1735,0.002,172.5,32.18208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-67.1333,44.8667,COFFIN PT US DATUM,8,2.666,0,0,0.113,138.1,193.8721,0.143,154.7,214.8643,2.458,2.6,118.5364,0.367,41.4,161.4,0.067,234.3,106.1728,0.024,269.1,145.0364,0.585,345.6,99.35892,0.099,36.6,156.9285,0.021,120.4,173.9946,0.006,22.2,84.54177,0.039,78,189.8728,0.046,154.9,214.7357,0.052,323.2,325.3775,0.009,221.3,285.8564,0.088,3.9,122.0139,0.015,217.2,275.1868,0.019,217.4,87.09534,0.008,189.9,293.6457,0.004,68.3,119.7171,0.16,301.3,52.88142,0.135,352.5,106.5503,0.003,342.1,156.0046,0.001,175.5,347.2086,0.004,126.1,302.2007,0.004,227.3,47.46428,0.012,245,118.7589,0.003,341.2,221.2,0.036,330.1,315.7318,0.103,347.8,335.6093,0.051,27.5,19.37283,0.008,71.5,67.43642,0.06,61.4,65.46358,0.007,136.2,185.7311,0.002,203.2,269.9339,0.017,96.6,206.2953,0.033,266.5,29.00605,0.005,103.9,35.93711,0,77.9,18.06427,0.001,66.8,114.7735,0.005,55.3,274.9821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-67.1167,44.9167,GARNET PT US DATUM,9,3.058,0,0,0.113,117.1,172.8721,0.152,134.7,194.8643,2.687,348.4,104.3364,0.39,23,143,0.078,215.8,87.67284,0.017,253.5,129.4364,0.569,323.2,76.95892,0.105,18.2,138.5285,0.018,99.3,152.8946,0.014,153.3,215.6418,0.023,72.6,184.4728,0.05,134.9,194.7357,0.037,122.4,124.5775,0.005,170.2,234.7564,0.077,9.5,127.6139,0.012,114,171.9868,0.036,188.2,57.89534,0.014,174.2,277.9457,0.001,87.3,138.7171,0.094,295.9,47.48142,0.131,330.1,84.15033,0.001,288.6,102.5046,0.003,186.2,357.9086,0.002,233.8,49.90069,0.003,86.9,267.0643,0.005,20.4,254.1589,0,131.1,11.1,0.061,279.1,264.7318,0.105,312.3,300.1093,0.037,354.7,346.5728,0.004,27.9,23.83642,0.04,86.6,90.66358,0.004,222,271.5311,0.002,200.7,267.4339,0.025,332.5,82.19534,0.004,271,33.50605,0.008,75,7.037108,0,29.8,329.9643,0.001,20.7,68.67352,0.003,278.2,137.8821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-66.75,44.7667,NORTH HEAD,10,3.56,0,0,0.092,117.1,172.8721,0.164,136,196.1643,2.52,338.6,94.53642,0.427,9.8,129.8,0.02,284.1,155.9728,0.011,314.4,190.3364,0.356,314.4,68.15892,0.121,7,127.3286,0.017,126.7,180.2946,0,0,0,0.142,128,239.8728,0.053,139.1,198.9357,0.102,75.9,78.0775,0,0,0,0,0,0,0,0,0,0.004,271.8,141.4953,0.009,81.8,185.5457,0,0,0,0,0,0,0,0,0,0.008,165.7,339.6046,0.004,214.3,26.00856,0.007,170.9,347.0007,0.006,200.1,20.26427,0,0,0,0,0,0,0.012,228.4,214.0318,0.023,255.9,243.7092,0.011,290.5,282.3728,0.005,180.4,176.3364,0.049,7.6,11.66358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,75.8,127.5086,0.037,227,336.4039,0.023,84.7,206.8775,0.033,352.9,116.9636,0.002,129.5,9.828549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-66.9667,44.8167,WEST QUODDY HEAD,11,3.318,0,0,0.113,111.6,167.3721,0.139,128.9,189.0643,2.165,339.2,95.13641,0.343,17,137,0.023,291.6,163.4728,0.008,285.2,161.1364,0.507,311.1,64.85892,0.092,12.2,132.5285,0.029,78.6,132.1946,0.019,146.7,209.0418,0.017,26.4,138.2728,0.045,129.1,188.9357,0.068,201.5,203.6775,0.007,230.4,294.9564,0.125,349.7,107.8139,0.019,169,226.9868,0.012,220.1,89.79533,0.005,145.8,249.5457,0.013,24.9,76.31715,0.072,249.7,1.28142,0.117,318,72.05033,0.005,145.5,319.4046,0.006,114.3,286.0085,0.008,78.4,254.5007,0.006,120.2,300.3643,0.003,180.8,54.55892,0,327.4,207.4,0.038,221.2,206.8318,0.066,266.3,254.1093,0.03,296.1,287.9728,0.003,130,125.9364,0.081,273.8,277.8636,0.01,25.8,75.33106,0.008,287.2,353.9339,0.023,29.6,139.2953,0.014,187.8,310.3061,0.003,77.9,9.937108,0.001,291,231.1643,0.002,5.4,53.37352,0.01,246.4,106.0821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-66.9833,44.8667,SOUTH LUBEC,14,2.87,0,0,0.115,115.7,171.4721,0.15,134.4,194.5643,2.372,342.2,98.13641,0.362,15.4,135.4,0.055,224.7,96.57283,0.015,268.8,144.7364,0.504,313.3,67.05892,0.093,9.2,129.5285,0.019,89.7,143.2946,0.006,135.6,197.9418,0.011,68.2,180.0728,0.048,129.1,188.9357,0.025,211.3,213.4775,0.004,174.2,238.7564,0.128,359.1,117.2139,0.011,138.5,196.4868,0.02,194.5,64.19534,0.003,148.7,252.4457,0.001,271.9,323.3171,0.046,291.5,43.08142,0.116,320.2,74.25034,0.002,64.9,238.8046,0.006,155.6,327.3086,0.001,193.2,9.300692,0.002,261.6,81.76427,0.003,331.7,205.4589,0,61.8,301.8,0.023,240,225.6318,0.041,275.3,263.1093,0.018,308.4,300.2728,0,199.2,195.1364,0.021,265.6,269.6636,0.002,205.3,254.8311,0.002,277.6,344.3339,0.037,10.8,120.4953,0.003,118.9,241.4061,0.001,358.6,290.6371,0.001,99,39.16428,0,86,133.9735,0.002,216,75.68208,0,0,0,0,0,0,0.017,200.8,322.9775,0,0,0,0.001,277,157.3286,0.012,26.1,30.49213,0.027,131.1,131.4285,0.005,136.9,197.3928,0,83.1,147.3279,0.045,319.6,75.86497,0.001,53.7,229.4721,0.004,248.5,124.765,0.005,342.7,334.9014,0.011,72.9,69.16496,0.007,306.3,2.400692,0.003,54.1,111.7582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-66.95,44.8833,WELSHPOOL,15,3.695,0,0,0.115,118,173.7721,0.146,135,195.1643,2.657,344,99.93642,0.363,20,140,0.061,192.9,64.77283,0.007,214,89.93642,0.545,319,72.75892,0.097,15.2,135.5285,0.017,92.8,146.3946,0.009,150.8,213.1418,0.022,48.8,160.6728,0.047,135.2,195.0357,0.023,58.1,60.2775,0.006,158.4,222.9564,0.09,0.2,118.3139,0.01,119.2,177.1868,0.031,158.9,28.59534,0.008,209.1,312.8457,0.009,82.2,133.6171,0.089,272.1,23.68142,0.126,325.9,79.95033,0.003,33.2,207.1046,0.004,200.3,12.00856,0.005,312.2,128.3007,0.002,188.6,8.764275,0.008,353,226.7589,0.001,336.2,216.2,0.04,281.6,267.2318,0.053,312,299.8093,0.014,359.2,351.0728,0.004,15,10.93642,0.011,334.9,338.9636,0.004,246.8,296.3311,0.001,229.7,296.4339,0.019,13,122.6953,0.01,67.3,189.806,0,223.7,155.7371,0,175,115.1643,0.001,45.1,93.07352,0.003,301.4,161.0821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
